Nom,Prénom,Spécialité,Date accréditation,OA,Département,FINESS,Statut
ABDELNOUR,Riad-henri,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,16,160000170,Libéral
ABDELNOUR,Riad-henri,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,16,160013207,Libéral
ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique",2020-07-16,PLASTIRISQ,,313150393,Libéral
ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique",2020-07-16,PLASTIRISQ,,750301145,Libéral
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,750019119,Libéral et salarié
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,750300840,Libéral et salarié
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,950300277,Libéral et salarié
ABS,Richard,"Chirurgie plastique, reconstructrice et esthétique",2022-06-23,PLASTIRISQ,13,130784903,Libéral
ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,94,100000082,Libéral et salarié
ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,94,770300192,Libéral et salarié
ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,94,770300275,Libéral et salarié
ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,94,940813033,Libéral et salarié
ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,94,950000331,Libéral et salarié
ADJADJ,LUCILLE,"Chirurgie plastique, reconstructrice et esthétique",2019-02-27,PLASTIRISQ,95,950110049,Libéral
ADJADJ,LUCILLE,"Chirurgie plastique, reconstructrice et esthétique",2019-02-27,PLASTIRISQ,95,950807982,Libéral
AFKHAMI AGHDA,Sohi,"Chirurgie plastique, reconstructrice et esthétique",2020-09-24,PLASTIRISQ,22,220000301,Libéral
AFKHAMI AGHDA,Sohi,"Chirurgie plastique, reconstructrice et esthétique",2020-09-24,PLASTIRISQ,22,220022800,Libéral
AKNIN,Joel,"Chirurgie plastique, reconstructrice et esthétique",2017-03-22,PLASTIRISQ,69,690780234,Libéral
ALAMDARI,Alireza,"Chirurgie plastique, reconstructrice et esthétique",2021-10-21,PLASTIRISQ,94,940300031,Libéral
ALAMDARI,Alireza,"Chirurgie plastique, reconstructrice et esthétique",2021-10-21,PLASTIRISQ,94,940300379,Libéral
ALLIEZ,ANTOINE,"Chirurgie plastique, reconstructrice et esthétique",2021-09-23,PLASTIRISQ,2A,130047160,Libéral
ALLIEZ,ANTOINE,"Chirurgie plastique, reconstructrice et esthétique",2021-09-23,PLASTIRISQ,2A,2A0000139,Libéral
ARNAUD,Daniel,"Chirurgie plastique, reconstructrice et esthétique",2019-12-26,PLASTIRISQ,72,720017748,Libéral
ARTHOZOUL,MARION,"Chirurgie plastique, reconstructrice et esthétique",2020-02-26,PLASTIRISQ,31,310026083,Libéral
ATHMANI,Bachir,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,75,920300365,Libéral
ATHMANI,Bachir,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,75,920300712,Libéral
ATHMANI,Bachir,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,75,950300137,Libéral
ATHMANI,Bachir,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,75,IACEES019,Libéral
AUBERT,Jean pierre,"Chirurgie plastique, reconstructrice et esthétique",2020-12-29,PLASTIRISQ,13,130783723,Libéral
AUBERT,Jean pierre,"Chirurgie plastique, reconstructrice et esthétique",2020-12-29,PLASTIRISQ,13,130784481,Libéral
AUDIFFRET MULFINGER,Caroline,"Chirurgie plastique, reconstructrice et esthétique",2020-12-29,PLASTIRISQ,13,130043664,Libéral
AUDIFFRET MULFINGER,Caroline,"Chirurgie plastique, reconstructrice et esthétique",2020-12-29,PLASTIRISQ,13,130783723,Libéral
AUDIFFRET MULFINGER,Caroline,"Chirurgie plastique, reconstructrice et esthétique",2020-12-29,PLASTIRISQ,13,IACEES022,Libéral
AUFFRET,Pascal,"Chirurgie plastique, reconstructrice et esthétique",2020-12-17,PLASTIRISQ,44,440024982,Libéral
AUFFRET,Pascal,"Chirurgie plastique, reconstructrice et esthétique",2020-12-17,PLASTIRISQ,44,440029379,Libéral
AUFFRET,Pascal,"Chirurgie plastique, reconstructrice et esthétique",2020-12-17,PLASTIRISQ,44,440033819,Libéral
AYESTARAY,BENOIT,"Chirurgie plastique, reconstructrice et esthétique",2017-11-15,PLASTIRISQ,91,750100166,Salarié
AZIZA,Richard,"Chirurgie plastique, reconstructrice et esthétique",2020-12-17,PLASTIRISQ,75,750300881,Libéral
AZIZA,Richard,"Chirurgie plastique, reconstructrice et esthétique",2020-12-17,PLASTIRISQ,75,920300837,Libéral
BALLANGER BOUHANA,Astrid,"Chirurgie plastique, reconstructrice et esthétique",2021-07-01,PLASTIRISQ,33,330782582,Libéral
BANNIER,Marc,"Chirurgie plastique, reconstructrice et esthétique",2019-12-26,PLASTIRISQ,93,930300116,Libéral
BAPTISTA,CLAIRE,"Chirurgie plastique, reconstructrice et esthétique",2021-10-21,PLASTIRISQ,13,130007362,Libéral
BAPTISTA,CLAIRE,"Chirurgie plastique, reconstructrice et esthétique",2021-10-21,PLASTIRISQ,13,130047160,Libéral
BARAER,Fabien,"Chirurgie plastique, reconstructrice et esthétique",2021-05-06,PLASTIRISQ,44,440000412,Libéral
BARATTE,ALEXANDRE,"Chirurgie plastique, reconstructrice et esthétique",2020-10-22,PLASTIRISQ,49,490000171,Libéral
BARON,Jean francois,"Chirurgie plastique, reconstructrice et esthétique",2018-12-27,PLASTIRISQ,33,970402723,Libéral
BARON,Jean-luc,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,34,340780675,Libéral
BARON,Jean-luc,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,34,340780725,Libéral
BARRY DE LONGCHAMPS,Francoise,"Chirurgie plastique, reconstructrice et esthétique",2022-03-31,PLASTIRISQ,75,750052037,Libéral et salarié
BARRY DE LONGCHAMPS,Francoise,"Chirurgie plastique, reconstructrice et esthétique",2022-03-31,PLASTIRISQ,75,750100141,Libéral et salarié
BARRY DE LONGCHAMPS,Francoise,"Chirurgie plastique, reconstructrice et esthétique",2022-03-31,PLASTIRISQ,75,750300121,Libéral et salarié
BARRY DE LONGCHAMPS,Francoise,"Chirurgie plastique, reconstructrice et esthétique",2022-03-31,PLASTIRISQ,75,750300881,Libéral et salarié
BEHBAHANI,Eric,"Chirurgie plastique, reconstructrice et esthétique",2021-01-21,PLASTIRISQ,79,790009948,Libéral
BELLAICHE,Philippe,"Chirurgie plastique, reconstructrice et esthétique",2022-04-28,PLASTIRISQ,75,750300881,Libéral et salarié
BELLAICHE,Philippe,"Chirurgie plastique, reconstructrice et esthétique",2022-04-28,PLASTIRISQ,75,930300025,Libéral et salarié
BELLIER-WAAST,FREDERIQUE,"Chirurgie plastique, reconstructrice et esthétique",2022-03-31,PLASTIRISQ,44,440000412,Libéral
