Nom,Prénom,Spécialité,Date accréditation,OA,Département,FINESS,Statut
ABOU HANNA,Halim,Chirurgie thoracique et cardio-vasculaire,2020-09-24,SFCTCV,21,210987558,Salarié
ABOU TAAM,Salam,Chirurgie thoracique et cardio-vasculaire,2020-12-17,SFCTCV,91,910803543,Libéral
ALAUZEN,Michel,Chirurgie thoracique et cardio-vasculaire,2021-09-23,SFCTCV,34,340780667,Libéral
ALAUZEN,Michel,Chirurgie thoracique et cardio-vasculaire,2021-09-23,SFCTCV,34,340780675,Libéral
ALIFANO,Marco,Chirurgie thoracique et cardio-vasculaire,2022-02-03,SFCTCV,75,750100018,Libéral et salarié
ALIFANO,Marco,Chirurgie thoracique et cardio-vasculaire,2022-02-03,SFCTCV,75,750100166,Libéral et salarié
ALLAIN,GERALDINE,Chirurgie thoracique et cardio-vasculaire,2020-12-29,SFCTCV,86,860000223,Salarié
ALSIT,Nidal,Chirurgie thoracique et cardio-vasculaire,2022-02-03,SFCTCV,54,540000486,Libéral
ANGELESCU,Dan,Chirurgie thoracique et cardio-vasculaire,2021-01-21,SFCTCV,24,240000117,Salarié
ANGELESCU,Dan,Chirurgie thoracique et cardio-vasculaire,2021-01-21,SFCTCV,24,380803817,Salarié
ANGELESCU,Dan,Chirurgie thoracique et cardio-vasculaire,2021-01-21,SFCTCV,24,GCS591,Salarié
ANNOUNE,TAREK,Chirurgie thoracique et cardio-vasculaire,2020-10-22,SFCTCV,67,420784878,Libéral
ANNOUNE,TAREK,Chirurgie thoracique et cardio-vasculaire,2020-10-22,SFCTCV,67,670000116,Libéral
ANNOUNE,TAREK,Chirurgie thoracique et cardio-vasculaire,2020-10-22,SFCTCV,67,670018068,Libéral
ARIGON,Jean-philippe,Chirurgie thoracique et cardio-vasculaire,2021-12-29,SFCTCV,44,440024982,Libéral
ARIGON,Jean-philippe,Chirurgie thoracique et cardio-vasculaire,2021-12-29,SFCTCV,44,440033819,Libéral
AUBERT,Axel,Chirurgie thoracique et cardio-vasculaire,2021-12-16,SFCTCV,38,380786442,Libéral
AUBERT,Stéphane,Chirurgie thoracique et cardio-vasculaire,2020-07-16,SFCTCV,92,750100125,Libéral
AUBERT,Stéphane,Chirurgie thoracique et cardio-vasculaire,2020-07-16,SFCTCV,92,920300753,Libéral
AVARO,Jean-philippe,Chirurgie thoracique et cardio-vasculaire,2019-06-26,SFCTCV,83,830100574,Médecin militaire
AZE,OLIVIER,Chirurgie thoracique et cardio-vasculaire,2022-06-23,SFCTCV,13,130000409,Salarié
BAGAN,Patrick,Chirurgie thoracique et cardio-vasculaire,2018-09-20,SFCTCV,95,800006124,Salarié
BAGAN,Patrick,Chirurgie thoracique et cardio-vasculaire,2018-09-20,SFCTCV,95,950000307,Salarié
BAGAN,Patrick,Chirurgie thoracique et cardio-vasculaire,2018-09-20,SFCTCV,95,950000323,Salarié
