Nom,Prénom,Spécialité,Date accréditation,OA,Département,FINESS,Statut
AFFRIAT,Charlie,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130043664,Libéral
AFFRIAT,Charlie,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130785678,Libéral
ALESSIO,ANNUNZIATO,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,69,690780663,Libéral et salarié
ALLARD,GUILLAUME,Gastro-entérologie (activité interventionnelle),2022-03-31,CEFA-HGE,13,130000409,Salarié
ALLEMOZ,Didier,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130043664,Libéral
ALLEMOZ,Didier,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130784713,Libéral
ANDRIEUX,Vladimir,Gastro-entérologie (activité interventionnelle),2018-06-13,CEFA-HGE,16,160000253,Salarié
ARNACHELLUM,RUBESHEN,Gastro-entérologie (activité interventionnelle),2020-09-24,CEFA-HGE,29,290000256,Salarié
ARNACHELLUM,RUBESHEN,Gastro-entérologie (activité interventionnelle),2020-09-24,CEFA-HGE,29,290004324,Salarié
ARPURT,Jean pierre,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,84,840012470,Salarié
ARTRU,Pascal,Gastro-entérologie (activité interventionnelle),2020-02-26,CEFA-HGE,69,690023411,Libéral
ASSELAH,SIHEM,Gastro-entérologie (activité interventionnelle),2021-05-06,CEFA-HGE,94,940110042,Salarié
AYGALENQ,PHILIPPE,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,6,60780590,Libéral
BARDOUX,Nicolas,Gastro-entérologie (activité interventionnelle),2020-02-26,CEFA-HGE,76,760780619,Libéral
BARRAULT,Camille,Gastro-entérologie (activité interventionnelle),2020-04-01,CEFA-HGE,94,940000573,Salarié
BARRIERE,Nicolas,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130043664,Libéral
BARRIERE,Nicolas,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130781867,Libéral
BARTHELEMY,Eric,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130043664,Libéral
BARTHELEMY,Eric,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130782675,Libéral
BASTID,Christophe,Gastro-entérologie (activité interventionnelle),2019-02-27,CEFA-HGE,13,130783327,Libéral
BELLON,Serge,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,84,840012470,Libéral et salarié
BEN SLAMA-PERON,NOURA,Gastro-entérologie (activité interventionnelle),2020-11-26,CEFA-HGE,69,690022959,Libéral
BEN SLAMA-PERON,NOURA,Gastro-entérologie (activité interventionnelle),2020-11-26,CEFA-HGE,69,690780655,Libéral
BENARD,CORALIE,Gastro-entérologie (activité interventionnelle),2021-05-06,CEFA-HGE,76,760780619,Libéral
BENDAOUD,Sihem,Gastro-entérologie (activité interventionnelle),2020-12-29,CEFA-HGE,94,940000573,Salarié
BENEZECH,ALBAN,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,84,840001861,Salarié
BENOSMAN,HADI,Gastro-entérologie (activité interventionnelle),2019-10-23,CEFA-HGE,75,750803447,Libéral et salarié
BERTRAND,GASPARD,Gastro-entérologie (activité interventionnelle),2021-04-01,CEFA-HGE,69,690783154,Salarié
BERTRAND,Julie,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130043664,Libéral et salarié
BERTRAND,Julie,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130783293,Libéral et salarié
BERTRAND,Julie,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,13,130784713,Libéral et salarié
BILLEY,CHLOE,Gastro-entérologie (activité interventionnelle),2021-05-27,CEFA-HGE,31,310019492,Libéral
BION,Eric,Gastro-entérologie (activité interventionnelle),2019-11-20,CEFA-HGE,41,410004998,Libéral
BOGET-MORINEAUX,EDWIGE,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,38,690780663,Libéral
BORD,Charlotte,Gastro-entérologie (activité interventionnelle),2018-12-27,CEFA-HGE,34,340798800,Libéral
BOUCHARD,DOMINIQUE,Gastro-entérologie (activité interventionnelle),2021-07-15,CEFA-HGE,33,330000340,Salarié
BOUCHER,Nathalie,Gastro-entérologie (activité interventionnelle),2020-04-01,CEFA-HGE,31,310781505,Libéral
BOUET,Cedric,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,40,400780359,Libéral
BOUET,Cedric,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,40,400782769,Libéral
BOULANT,JAMES,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,6,60780590,Libéral
BOURDAIS,Laetitia,Gastro-entérologie (activité interventionnelle),2022-09-22,CEFA-HGE,94,940110042,Salarié
BOURDELOIE,MARION,Gastro-entérologie (activité interventionnelle),2022-04-28,CEFA-HGE,38,380785956,Libéral
BOUSSOUKAYA,SAMY,Gastro-entérologie (activité interventionnelle),2019-12-18,CEFA-HGE,6,60780590,Libéral
BRAHMIA,SANAA,Gastro-entérologie (activité interventionnelle),2021-04-01,CEFA-HGE,69,690783154,Salarié
BRAMLI,Slim,Gastro-entérologie (activité interventionnelle),2019-07-17,CEFA-HGE,84,840012470,Salarié
BRUN,Marc,Gastro-entérologie (activité interventionnelle),2020-04-01,CEFA-HGE,69,690029186,Libéral
CABARROT,Philippe,Gastro-entérologie (activité interventionnelle),2018-11-28,CEFA-HGE,31,310781000,Libéral
CALAVAS,LAURA,Gastro-entérologie (activité interventionnelle),2019-10-23,CEFA-HGE,69,690783154,Salarié
CASASSUS-BUILHÉ,Didier,Gastro-entérologie (activité interventionnelle),2020-07-16,CEFA-HGE,64,640780748,Libéral
CASTELLANO,JULIE,Gastro-entérologie (activité interventionnelle),2018-11-28,CEFA-HGE,31,310781000,Libéral
CASTINEL,Alain,Gastro-entérologie (activité interventionnelle),2020-07-16,CEFA-HGE,33,330780115,Libéral et salarié
CAUSSE,Xavier,Gastro-entérologie (activité interventionnelle),2021-05-06,CEFA-HGE,45,450002613,Salarié
CAVICCHI,MARYAN NICOLAS,Gastro-entérologie (activité interventionnelle),2020-12-17,CEFA-HGE,94,940813033,Libéral
CELLIER,CHRISTOPHE,Gastro-entérologie (activité interventionnelle),2019-10-23,CEFA-HGE,75,750803447,Salarié
