Nom,Prénom,Spécialité,Date accréditation,OA,Département,FINESS,Statut
ABBOU,Fatma,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-03-31,GYNERISQ,56,560008799,Libéral
ABDENNEBI   ,Pierre,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-29,GYNERISQ,91,910300144,Libéral
ABDUL RAZAK,Roba,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-17,GYNERISQ,95,950300202,Libéral
ABDUL-RAZAK,Waël,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-09-24,GYNERISQ,95,950300202,Libéral
ABERGEL,AURELIE,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,33,330782582,Libéral
ABIRACHED,Fadi,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-06-23,GYNERISQ,49,490014909,Libéral
ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,91,910001098,Libéral et salarié
ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,91,910805357,Libéral et salarié
ABOU KHALIL,NOURALLAH,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-29,GYNERISQ,56,560005746,Libéral et salarié
ABOUT ,Monique,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-07-01,GYNERISQ,34,340009885,Libéral
ABRAHAM,Steve,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-02-18,GYNERISQ,94,940300270,Libéral
ABRAR,Diba,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2019-11-20,GYNERISQ,6,60780756,Libéral
ACHACHE,Guy,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-17,GYNERISQ,13,130783327,Libéral
ACHARIAN,Victor,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,64,640780946,Libéral
ACHIM,Irina stefania,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2019-10-23,GYNERISQ,79,790009948,Libéral
ACHOURI,ABDELLAZIZ,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-11-26,GYNERISQ,31,310000179,Libéral
ACHOURI,ABDELLAZIZ,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-11-26,GYNERISQ,31,310780382,Libéral
ACKERMANN,Steffen,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2019-09-25,GYNERISQ,67,670000272,Libéral et salarié
ACOUME,Toufic,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-16,GYNERISQ,80,800009920,Libéral
ADAM,Jean-marie,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,67,670780212,Libéral
AFIF,Ahmed,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-01-22,GYNERISQ,49,490002037,Libéral
AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,75,750000978,Libéral et salarié
AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,75,750100232,Libéral et salarié
AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,75,750300840,Libéral et salarié
AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,75,920100039,Libéral et salarié
AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,75,920300761,Libéral et salarié
AFRIAT,Raymond,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,75,750000523,Libéral et salarié
AFRIAT,Raymond,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,75,750300410,Libéral et salarié
AGBEKPONOU,KODJOVI,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-11-26,GYNERISQ,95,950300277,Libéral
AGLAN,Azza,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-16,GYNERISQ,78,780300208,Libéral
AGOSTINI,Aubert,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-09-22,GYNERISQ,13,130783236,Libéral et salarié
AHMADI,SAMI,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2018-12-19,GYNERISQ,79,790009948,Libéral
AISSAOUI,Fatiha,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2018-12-27,GYNERISQ,93,342303914,Libéral
AIT MENGUELLET,SONIA,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-17,GYNERISQ,13,130008253,Libéral
AKNIN,Alain joel,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,75,750300931,Libéral
AKNIN,Marie-paule,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2020-12-17,GYNERISQ,2,20010047,Libéral
AKRICHE,Claude,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,78,780000618,Libéral
AKRICHE,Claude,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,78,780300265,Libéral
AL ASSAF,Adam,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2022-02-03,GYNERISQ,7,70780424,Libéral
ALBERTI,Marie,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2019-07-17,GYNERISQ,31,310026927,Libéral
ALBERTI,Marie,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2019-07-17,GYNERISQ,31,310780382,Libéral
ALBY,Jean dominique,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2018-06-13,GYNERISQ,6,60020153,Libéral
ALEXANDRE,Florence,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,63,630000826,Libéral
ALEXANDRE,Florence,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-12-29,GYNERISQ,63,630783330,Libéral
ALFARAJ,Abdul hakim,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-01-21,GYNERISQ,94,280000183,Libéral
ALFARAJ,Abdul hakim,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-01-21,GYNERISQ,94,600000228,Libéral
ALFARAJ,Abdul hakim,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités obstétrique",2021-01-21,GYNERISQ,94,940000912,Libéral
