Nom,Prénom,Spécialité,Date accréditation,OA,Département,FINESS,Statut
AB DER HALDEN,Maxime,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2021-12-29,GYNERISQ,81,810000521,Libéral et salarié
ABAD,Julien,Chirurgie orthopédique et traumatologie,2021-04-01,ORTHORISQ,81,810000224,Libéral
ABADIE,Pierre,Chirurgie orthopédique et traumatologie,2020-01-22,ORTHORISQ,33,330780271,Libéral
ABANE,LAURENT,Chirurgie orthopédique et traumatologie,2019-11-20,ORTHORISQ,72,720000199,Libéral
ABBADI,Achakib,Chirurgie viscérale et digestive,2021-12-29,FCVD,91,910300177,Libéral
ABBAL,Bertrand,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2021-12-29,CFAR,34,340015502,Libéral
ABBAS,MARCEL,Chirurgie viscérale et digestive,2020-11-26,FCVD,14,140018730,Libéral
ABBAS,MARCEL,Chirurgie viscérale et digestive,2020-11-26,FCVD,14,950300095,Libéral
ABBAS,MEHDI,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2022-04-28,CFAR,78,780300125,Libéral et salarié
ABBAS,MEHDI,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2022-04-28,CFAR,78,910000298,Libéral et salarié
ABBAS,MEHDI,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2022-04-28,CFAR,78,930000393,Libéral et salarié
ABBOU,Fatma,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2022-03-31,GYNERISQ,56,560008799,Libéral
ABD EL FATTAH,Vincent,Chirurgie urologique,2021-05-06,AFU,34,340000223,Libéral
ABD EL FATTAH,Vincent,Chirurgie urologique,2021-05-06,AFU,34,340000272,Libéral
ABD EL FATTAH,Vincent,Chirurgie urologique,2021-05-06,AFU,34,340011295,Libéral
ABD EL FATTAH,Vincent,Chirurgie urologique,2021-05-06,AFU,34,340780642,Libéral
ABDELLI,Amar,Chirurgie viscérale et digestive,2021-05-27,FCVD,44,440041580,Libéral
ABDELNOUR,Riad-henri,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,16,160000170,Libéral
ABDELNOUR,Riad-henri,"Chirurgie plastique, reconstructrice et esthétique",2021-02-18,PLASTIRISQ,16,160013207,Libéral
ABDELWAHAB,ALAA,Chirurgie urologique,,AFU,95,950000364,Libéral et salarié
ABDENNEBI   ,Pierre,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2020-12-29,GYNERISQ,91,910300144,Libéral
ABDERRAZAK,Mondher,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2018-06-13,CFAR,19,190000018,Libéral
ABDERRAZAK,Mondher,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2018-06-13,CFAR,19,190000257,Libéral
ABDOU,ABDELALI,Chirurgie urologique,2021-12-16,AFU,95,950807982,Libéral
ABDUL RAOUF,Ayman,Chirurgie vasculaire,2019-12-18,VASCURISQ,15,150780732,Libéral
ABDUL RAZAK,Roba,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2020-12-17,GYNERISQ,95,950300202,Libéral
ABDUL-RAZAK,Waël,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2020-09-24,GYNERISQ,95,950300202,Libéral
ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique",2020-07-16,PLASTIRISQ,,313150393,Libéral
ABECASSIS,Marc,"Chirurgie plastique, reconstructrice et esthétique",2020-07-16,PLASTIRISQ,,750301145,Libéral
ABERGEL,AURELIE,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2022-02-03,GYNERISQ,33,330782582,Libéral
ABET,EMERIC,Chirurgie viscérale et digestive,2019-09-25,FCVD,85,850000142,Libéral et salarié
ABI FADEL,Antoine,Chirurgie viscérale et digestive,2020-02-26,FCVD,41,410004998,Libéral
ABI LAHOUD,Georges,Neurochirurgie,2020-11-26,Collège de Neurochirurgie,75,750000499,Libéral
ABI LAHOUD,Georges,Neurochirurgie,2020-11-26,Collège de Neurochirurgie,75,750300766,Libéral
ABID,AHMED,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2020-12-29,CFAR,15,150780732,Libéral
ABIHAIDAR,Georges,Chirurgie orthopédique et traumatologie,2021-05-27,ORTHORISQ,84,840013445,Libéral
ABIRACHED,Fadi,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2022-06-23,GYNERISQ,49,490014909,Libéral
ABITA,THIARE JUVENAL,Chirurgie viscérale et digestive,2021-07-01,FCVD,19,190000257,Libéral
ABOLO NKE,Hervé,"Anesthésie-réanimation , Activité de réanimation , Activité de soins intensifs",2021-07-01,CFAR,76,760780791,Libéral
ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2022-02-03,GYNERISQ,91,910001098,Libéral et salarié
ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2022-02-03,GYNERISQ,91,910805357,Libéral et salarié
ABOU HANNA,Halim,Chirurgie thoracique et cardio-vasculaire,2020-09-24,SFCTCV,21,210987558,Salarié
ABOU KHALIL,NOURALLAH,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2020-12-29,GYNERISQ,56,560005746,Libéral et salarié
ABOU TAAM,Salam,Chirurgie thoracique et cardio-vasculaire,2020-12-17,SFCTCV,91,910803543,Libéral
ABOU-MRAD-FRICQUEGNON,ADEL,Chirurgie viscérale et digestive,2021-09-23,FCVD,45,450000088,Libéral et salarié
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,750019119,Libéral et salarié
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,750300840,Libéral et salarié
ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique",2020-11-26,PLASTIRISQ,75,950300277,Libéral et salarié
ABOULALA,El mostafa,Chirurgie orthopédique et traumatologie,2020-09-24,ORTHORISQ,77,770110070,Libéral
ABOULALA,El mostafa,Chirurgie orthopédique et traumatologie,2020-09-24,ORTHORISQ,77,770300192,Libéral
ABOUT ,Monique,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2021-07-01,GYNERISQ,34,340009885,Libéral
ABRAHAM,Steve,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique , Activités d'obstétrique",2021-02-18,GYNERISQ,94,940300270,Libéral
